Varför?	Why?
Jag också.	Me, too.
Tvätta dig.	Wash up.
Jag förstår.	I understand.
Mary sprang.	Mary ran.
Stå upp.	Stand up!
Ursäkta mig.	Excuse me.
Försök igen.	Try again.
Vem vet?	Who knows?
Fåglar sjunger.	Birds sing.
Jag betalar.	I'll pay.
Gråt inte.	Don't cry.
Snälla kom.	Please come.
Vad händer?	What's up?
Alice log.	Alice smiled.
Prata inte!	Don't talk!
Jag kommer.	I'm coming.
Ingen vet.	No one knows.
Hon gråter.	She is crying.
Vad saknas?	What is missing?
Det stämmer!	That's right!
De bråkade.	They were arguing.
Skämtar du?	Are you kidding?
Kör försiktigt.	Drive carefully.
Han pluggar.	He's studying.
Andas han?	Is he breathing?
Öppna flaskan.	Open the bottle.
Fråga Tom.	Ask Tom.
Var trevlig.	Be nice.
Hämta Tom.	Get Tom.
Lägg av!	Stop it!
Kör vidare.	Drive on.
Fortsätt in.	Go on in.
Lämna mig.	Leave me.
Lämna oss.	Leave us.
Använd denna.	Use this.
Använd detta.	Use this.
Varna Tom.	Warn Tom.
Sikta. Skjut!	Aim. Fire!
Lugna dig.	Cool down.
Dö inte.	Don't die.
Skynda dig!	Hurry up.
Gå inte.	Don't leave.
Han låtsas.	He's faking.
Ringde Tom?	Did Tom call?
Stanna bilen.	Stop the car.
Vet Tom?	Does Tom know?
Vi förstår.	We understand.
Gråter du?	Are you crying?
Skjut inte!	Don't shoot!
Fattade du?	Did you get it?
Lovar du?	Do you promise?
Lovar ni?	Do you promise? (plural)
Sov lite.	Get some sleep.
Jag vann.	I won.
Släpp det.	Let it go.
Trädet brinner.	The tree is burning.
Vem kör?	Who's driving?
Lite högre.	A little louder.
Du vandrar.	You are hiking.
Tom undervisar.	Tom teaches.
Gråter ni?	Are you crying? (plural)
Blunda, Tom.	Close your eyes, Tom.
Kom tillbaka.	Come on back here.
Sluta, Tom.	Cut it out, Tom.
Störtade planet?	Did the plane crash?
Svimmade du?	Did you pass out?
Tom saknas.	Tom is missing.
Tom arbetar.	Tom is working.
Tom svimmade.	Tom passed out.
Tom dog.	Tom passed out.
Tiden flyger.	Time flies.
Sitt rakt.	Sit up straight.
Tom bleknade.	Tom turned pale.
Tom flåsade.	Tom was panting.
Du snackar.	You're babbling.
Rodnar du?	Are you blushing?
Skadades Tom?	Did Tom get hurt?
Var tålmodig.	Be patient.
Ha tålamod.	Have patience.
Var tålmodiga.	Be patient. (plural)
Släpp henne.	Let her go.
Hon väntar.	She is waiting.
Skeppet sjunker.	The ship is sinking.
Kyckling, tack.	Chicken, please.
Tom valde.	Tom made his choice.
För sent.	Too late.
Skadades någon?	Did somebody get hurt?
Jag är.	I am.
Blunda bara.	Just close your eyes.
Sänk rösten.	Keep your voice down.
Maska inte.	Don't waste your time.
Vem pratar?	Who's speaking?
Inte här!	Not here.
Vi förlorade.	We lost.
Slåss inte.	Don't fight.
Fuska inte.	Don't cheat.
Hoppa inte!	Don't jump!
Ljug inte.	Don't lie.
Sjung inte.	Don't sing.
Le inte.	Don't smile.
Tala inte.	Don't talk.
Stå inte.	Don't stand.
Prata inte.	Don't speak.
Stirra inte.	Don't stare.
Stanna inte.	Don't stop.
Vänta inte.	Don't wait.
Hitta Tom.	Find Tom.
Jag ser.	I see.
Håll repet.	Hold the rope.
Vi väntade.	We waited.
Vi överlevde.	We survived.
Vi lovade.	We promised.
Tom vinner.	Tom's winning.
Tom bluffar.	Tom's bluffing.
Tom blöder.	Tom's bleeding.
Tom fuskar.	Tom's cheating.
Tom gråter.	Tom's crying.
Tom drömmer.	Tom's dreaming.
Tom drunknar.	Tom's drowning.
Tom dör.	Tom's dying.
Tom äter.	Tom's eating.
Tom sörjer.	Tom's grieving.
Tom hjälper.	Tom's helping.
Tom skämtar.	Tom's joking.
Tom haltar.	Tom's limping.
Tom ljuger.	Tom's lying.
Tom packar.	Tom's packing.
Tom målar.	Tom's painting.
Tom vilar.	Tom's resting.
Typiskt tjejsnack!	Typical girl talk!
Håll käften!	Shut up!
Jag svimmade.	I fainted.
Glöm det!	Forget it.
Sådant händer.	Things like that happen.
Han hann.	He made it.
Ring brandkåren!	Call the fire department!
Det svider.	It stings.
Lyssnar du?	Are you listening?
Finns du?	Do you exist?
Finns de?	Do they exist?
Ta min.	Take mine. (-en noun)
Ta mitt.	Take mine. (-ett noun)
De mördades.	They were murdered.
Vilken lättnad!	What a relief!
Hitta katten.	Find the cat.
Ring polisen.	Call the cops.
Smittar det?	Is it contagious?
Tom väntar.	Tom is waiting.
Jag vinner.	I'm winning.
Vem dog?	Who died?
Tom försvann.	Tom went missing.
Fisk, tack.	Fish, please.
Stäng dörren.	Close the door.
Var hänsynslös.	Be ruthless.
Var hänsynslösa.	Be ruthless. (plural)
Var tyst.	You be quiet.
Husen brinner.	The houses are burning.
Tom är rasande.	Tom is furious.
Tom är gift.	Tom is married.
Tre glassar, tack.	Three ice-creams, please.
Länge leve Sovjetunionen!	Long live the Soviet Union!
Hon är upptagen.	She's busy.
Han pluggar alltid.	He is always studying.
Han undvek betet.	He avoided the bait.
Mår han bra?	Is he all right?
Var är jag?	Where am I?
Hon avskyr honom.	She despises him.
Tom saknar dig.	Tom misses you.
Tom behöver hjälp.	Tom needs help.
Tom tuppade av.	Tom passed out.
Tom verkar trevlig.	Tom seems nice.
Hur är det?	How are you?
Hur känns det?	How does that feel?
Var är de?	Where are they?
Vems är de?	Whose are they?
Missade jag mycket?	Did I miss much?
Sa Tom varför?	Did Tom say why?
Såg Tom dig?	Did Tom see you?
Frågade du Tom?	Did you ask Tom?
Hörde du det?	Did you hear it?
Såg du Tom?	Did you see Tom?
Träffade du Tom?	Did you see Tom?
Använder du droger?	Do you do drugs?
Känner du Tom?	Do you know Tom?
Gillar du Tom?	Do you like Tom?
Älskar du Tom?	Do you love Tom?
Älskar ni Tom?	Do you love Tom? (plural)
Saknar du Tom?	Do you miss Tom?
Saknar ni Tom?	Do you miss Tom? (plural)
Hur går det?	How's it going?
Jag hinner inte.	I can't make it.
Jag hör skratt.	I hear laughter.
Hon väckte honom.	She woke him up.
Våren är här.	Spring has come.
De är skådespelare.	They are actors.
Vi älskar picknickar.	We love picnics.
Vad sa han?	What did he say?
Är du japansk?	Are you Japanese?
Var inte arg.	Don't be angry.
Jag vill drömma.	I want to dream.
Jag blir galen.	I'm going crazy.
Tom är chef.	Tom is the boss.
Tom saknar Mary.	Tom misses Mary.
Tom verkade vilse.	Tom seemed lost.
Tom verkade trevlig.	Tom seemed nice.
Tom blev blek.	Tom turned pale.
Vänta en sekund.	Wait one second.
Vi måste flytta.	We have to move.
Vad gjorde Tom?	What did Tom do?
Vad dödade Tom?	What killed Tom?
Vad skrämde dig?	What scared you?
Varför alltid jag?	Why always me?
Vad fanns inuti?	What was inside?
Vad heter han?	What's his name?
Var är väskan?	Where's the bag?
Sa de hur?	Did they say how?
Sa de varför?	Did they say why?
Blev Tom skadad?	Did Tom get hurt?
Hittade du Tom?	Did you find Tom?
Hade du kul?	Did you have fun?
Dödade du Tom?	Did you kill Tom?
Kände du Tom?	Did you know Tom?
Varnade du Tom?	Did you warn Tom?
Mannen är naken.	The man is naked.
Jag använder Twitter.	I am using Twitter.
Hur visste du?	How did you know?
Hur fungerar det?	How does it work?
Jag hatar överraskningar.	I hate surprises.
Tom vet inte.	Tom doesn't know.
Tom hjälpte mycket.	Tom helped a lot.
Tom är föräldralös.	Tom is an orphan.
Tom är kompetent.	Tom is competent.
Tom är skicklig.	Tom is competent.
Tom är desperat.	Tom is desperate.
Tom är förtvivlad.	Tom is miserable.
Tom blev bortförd.	Tom was kidnapped.
Tom blev arresterad.	Tom was arrested.
Tom lyssnar inte.	Tom won't listen.
Blev Tom mördad?	Was Tom murdered?
Blev du beskjuten?	Were you shot at?
Vad sa Tom?	What did Tom say?
Vad missade vi?	What did we miss?
Vad träffade du?	What did you hit?
Vad såg du?	What did you see?
Vad vet du?	What do you know?
När börjar vi?	When do we start?
När startar vi?	When do we start?
Vart gick Tom?	Where did Tom go?
Var är alla?	Where's everyone?
Var är allihopa?	Where's everyone?
Vi har problem.	We're in trouble.
Ska du ut?	Are you going out?
Sa de när?	Did they say when?
Kom Tom tillbaka?	Did Tom come back?
Jag läser spanska.	I study Spanish.
Var är satelliterna?	Where are the satellites?
Kysste du Mary?	Did you kiss Mary?
Pussade du Mary?	Did you kiss Mary?
Vet Tom än?	Does Tom know yet?
Rör inte de.	Don't touch those.
Har Tom skadats?	Has Tom been hurt?
Hur gissade du?	How did you guess?
Hur lyckas du?	How do you manage?
Jag uppskattar det.	I appreciate that.
Jag hämtar boken.	I'll get the book.
Jag chansar bara.	I'm just guessing.
Vart gick han?	Where did he go?
Sluta besvära mig.	Stop harassing me.
Det var poängen.	That was the point.
De är dyra.	They're expensive.
Detta är inkorrekt.	This is incorrect.
Detta är felaktigt.	This is incorrect.
Tom är skadad.	Tom has been hurt.
Tom skadade knät.	Tom hurt his knee.
Tom har problem.	Tom is in trouble.
Tom kommer inte.	Tom is not coming.
Tom är otrogen.	Tom is unfaithful.
Tom är klarvaken.	Tom is wide awake.
Tom lurade mig.	Tom ripped me off.
Tom såg videon.	Tom saw the video.
Du älskar kaffe.	You love coffee.
Var är tvättrummet?	Where's the laundry room?
Vann du trofén?	Did you win the trophy?
Tar du dörren?	Get the door, will you?
Ut härifrån! Allihopa!	Get out of here! All of you!
Vi kysstes bara.	We only kissed.
Jag föddes här.	I was born here.
Hon dog 1960.	She died in 1960.
Tom ville hämnas.	Tom wanted revenge.
Tom är utbildad.	Tom is educated.
Jag gick också.	I also went.
Tom vill leka.	Tom wants to play.
Tom vill spela.	Tom wants to play.
Tom var deprimerad.	Tom was depressed.
Vad gör vi?	What are we doing?
Vad visste Tom?	What did Tom know?
Vad ville Tom?	What did Tom want?
Stör jag dig?	Am I disturbing you?
Middagen var toppen.	Dinner was awesome.
Bli inte paranoid.	Don't get paranoid.
Ge Tom allting.	Give Tom everything.
Hur mår du?	How are you?
Jag dubbelkollade det.	I checked it twice.
Jag älskar utmaningar.	I love challenges.
Jag var ironisk.	I was being ironic.
Jag var artig.	I was being polite.
Jag är fotograf.	I'm a photographer.
Det slutade bra.	It turned out well.
Kasta den bara.	Just throw it away.
Hälsa till Tom.	Tell Tom I said hi.
Detta är skandalöst!	This is outrageous!
Tom sjukanmälde sig.	Tom called in sick.
Tom har svimmat.	Tom has passed out.
Jag heter Henry.	My name is Henry.
Tom är sociopat.	Tom is a sociopath.
Tom kommer tillbaka.	Tom is coming back.
Tom är där.	Tom is right there.
Tom är här.	Tom's here.
Tom är ohejdbar.	Tom is unstoppable.
Tom måste hjälpas.	Tom must be helped.
Tom verkar stressad.	Tom seems stressed.
Tom var otrolig.	Tom was incredible.
Tom var fantastisk.	Tom was incredible.
Blev någon dödad?	Was anybody killed?
Vi klarar oss.	We'll be just fine.
Vi är sena.	We're running late.
Vad ville de?	What did they want?
Varför dröjer Tom?	What's keeping Tom?
Vad är avbrottet?	What's the hold up?
När kommer Tom?	When is Tom coming?
När är begravningen?	When's the funeral?
Var bodde du?	Where did you stay?
Var bodde ni?	Where did you stay? (plural)
Han dricker inte.	He doesn't drink.
Stör jag er?	Am I disturbing you?
Är du polis?	Are you a policeman?
Förlät Tom dig?	Did Tom forgive you?
Ser du någonting?	Do you see anything?
Ser ni någonting?	Do you see anything? (plural)
Spela inte förvånad.	Don't act surprised.
Avbryt inte Tom.	Don't interrupt Tom.
Läs detta först.	Read this first.
Jag gillar frukt.	I like fruit.
Jag hörde meddelandet.	I heard the message.
Jag behöver bilnycklarna.	I need the car keys.
Jag är socialarbetare.	I'm a social worker.
Jag är oskyldig.	I'm an innocent man.
Jag går nu.	I'm going now.
Tom är besviken.	Tom is disappointed.
Tom skalade potatis.	Tom peeled the potatoes.
Tom ignorerar dig.	Tom is ignoring you.
Tom sover fortfarande.	Tom is still asleep.
Tom gråter fortfarande.	Tom is still crying.
Tom andas inte.	Tom isn't breathing.
Tom måste stoppas.	Tom must be stopped.
Tom behövde pengar.	Tom needed the cash.
Tom behövde kontanter.	Tom needed the cash.
Tom öppnade dörren.	Tom opened the door.
Vi håller kontakt.	We'll keep in touch.
När rymde Tom?	When did Tom escape?
Hotade Tom dig?	Did Tom threaten you?
Behöver du någonting?	Do you need anything?
Behöver ni någonting?	Do you need anything?
Jag hör ingenting.	I can't hear a thing.
Jag har ryggproblem.	I have back problems.
Jag tappade tidsuppfattningen.	I lost track of time.
Du förstår mig.	You understand me.
Jag ringer polisen.	I'm calling the cops.
Jag var lärare.	I was a teacher.
Mary kom själv.	Mary came on her own.
Varför ljuger ni?	Why do you lie?
Talaren är ung.	The speaker is young.
De närmar sig.	They are approaching.
Tom kollade tiden.	Tom checked the time.
Tom kräver uppmärksamhet.	Tom craves attention.
Tom är miljardär.	Tom is a billionaire.
Tom är neurolog.	Tom is a neurologist.
Tom försvann precis.	Tom just disappeared.
Tom gillar reality-tv.	Tom likes reality TV.
Tom låter utmattad.	Tom sounds exhausted.
Tom började skratta.	Tom started laughing.
Ann gillar choklad.	Ann loves chocolate.
Vad skriver du?	What are you writing?
Vad minns du?	What do you remember?
Vad minns ni?	What do you remember? (plural)
Vad var problemet?	What was the problem?
Använder du aftershave?	Do you use aftershave?
Är perfektion tråkigt?	Is perfection boring?
Har du rökt?	Have you been smoking?
Jag uppskattar hjälpen.	I appreciate the help.
Jag sa inget.	I didn't say anything.
Regler är regler.	Rules are rules.
Stäng din bok.	Close your book.
Stäng er bok.	Close your book. (plural)
Han sköt först!	Han shot first!
Ta ut soporna.	Take out of the trash.
Tom är ung.	Tom's young.
Jag gillar te.	I like tea.
Jag bor här.	I live here.
Jag behöver dig.	I need you.
Jag behöver er.	I need you. (plural)
Är den vit?	Is it white?
Är det vitt?	Is it white? (-ett noun)
Det är lunchdags.	It's lunch time.
Tom har fel.	Tom's wrong.
Tom är uttråkad.	Tom's bored.
Tom är döv.	Tom's deaf.
Tom har dött.	Tom has died.
Tom är full.	Tom's drunk.
Tom är snabb.	Tom's fast.
Tom är tjock.	Tom's fat.
Tom är fri.	Tom's free.
Tom är glad.	Tom's glad.
Tom är borta.	Tom's gone.
Tom har gått.	Tom's gone.
Tom är hemma.	Tom's home.
Tom är arg.	Tom's angry.
Tom är elak.	Tom's mean.
Tom har rätt.	Tom's correct.
Tom är ledsen.	Tom's sad.
Tom är säker.	Tom's safe.
Tom är blyg.	Tom's shy.
Tom är smart.	Tom's smart.
Tom är konstig.	Tom's strange.
Tom är sträng.	Tom's strict.
Tom är stark.	Tom's strong.
Tom är trött.	Tom's tired.
Tom är uppe.	Tom's up.
Tom är svag.	Tom's weak.
Öl är gott.	Beer's good.
Här är bussen.	Here's the bus.
Han verkar trött.	He seems tired.
Han går fort.	He walks fast.
Hans huvud värkte.	His head ached.
Här kommer han.	Here he comes.
Här är hon!	Here she is!
Han gick hem.	He walked home.
Han klarade det.	He made it.
Han nämnde det.	He mentioned it.
Rör dig inte!	Don't move!
Klä på dig.	Get dressed.
Klä på er.	Get dressed. (plural)
Han blödde näsblod.	His nose bled.
Här kommer de.	Here they come.
Han blev blind.	He went blind.
Följ efter bilen.	Follow the car.
Han verkar snäll.	He seems kind.
Här kommer Tom.	Here comes Tom.
Han skriver böcker.	He writes books.
Tom är orolig.	Tom's worried.
Tom är bekymrad.	Tom's concerned.
Tom är uppmärksam.	Tom's alert.
Tom är ensam.	Tom's alone.
Tom är road.	Tom's amused.
Tom har anlänt.	Tom's arrived.
Tom är vaken.	Tom's awake.
Tom har erkänt.	Tom has confessed.
Tom är förvirrad.	Tom's confused.
Tom är övertygad.	Tom's convinced.
Tom lagar mat.	Tom's cooking.
Tom är galen.	Tom's crazy.
Tom är annorlunda.	Tom's different.
Tom är skild.	Tom is divorced.
Tom är tidig.	Tom's early.
Tom är förlovad.	Tom's engaged.
Tom har rymt.	Tom's escaped.
Tom är känd.	Tom's famous.
Tom är smutsig.	Tom's filthy.
Tom är färdig.	Tom's finished.
Tom är rolig.	Tom's funny.
Tom är snål.	Tom's greedy.
Tom är ofarlig.	Tom's harmless.
Tom är groggy.	Tom's groggy.
Tom är skyldig.	Tom's guilty.
Tom hjälper till.	Tom's helping.
Tom är hemlös.	Tom's homeless.
Tom har hemlängtan.	Tom's homesick.
Tom är hungrig.	Tom's hungry.
Tom är imponerad.	Tom's impressed.
Tom är vansinnig.	Tom's insane.
Tom har tur.	Tom's lucky.
Tom är artig.	Tom's polite.
Tom är framåt.	Tom's pushy.
Tom är pensionerad.	Tom's retired.
Tom är tyst.	Tom's silent.
Tom är ärlig.	Tom's sincere.
Ni har förändrats.	You've changed. (plural)
Jag vill vinna.	I want to win.
Ge aldrig upp!	Never give up!
Tom är adopterad.	Tom's adopted.
Tom sänkte rösten.	Tom lowered his voice.
Jag tappade tålamodet.	I lost my patience.
Jag ordnar det.	I'll see to it.
Hotar du mig?	Are you threatening me?
Hotar ni mig?	Are you threatening me?
Bomull absorberar vatten.	Cotton absorbs water.
Gillar du snö?	Do you like snow?
Är det kärlek?	Is it love?
Använd den här!	Use this.
Hittade de någonting?	Did they find anything?
Ta inga risker.	Don't take any chances.
Är du buddhist?	Are you a Buddhist?
Hon spelar Monopol.	She's playing Monopoly.
Talar ni bulgariska?	Do you speak Bulgarian?
De erbjöd hjälp.	They offered assistance.
Jag är rasande.	I'm furious.
Hunden är smart.	The dog is smart.
Hunden heter Ken.	The dog's name is Ken.
Vad lagar du?	What are you cooking?
Tom åt någonting.	Tom ate something.
Tack för skjutsen.	Thanks for the ride.
Hon gillar vin.	She likes wine.
Laurie älskar mig.	Laurie loves me.
Skynda dig tillbaka.	Hurry back.
Telefonen är trasig.	The phone is out of order.
Experimentet var lyckat.	The experiment was successful.
Han är lagkapten.	He's the team captain.
Jag är arg.	I'm angry.
Hon talar portugisiska.	She speaks Portuguese.
Inga skämt, tack!	No jokes please!
Vad är alternativet?	What's the alternative?
Var är bilnycklarna?	Where are the car keys?
Sa någon någonting?	Did anyone say anything?
Vi vill rösta.	We want to vote.
Jag tar det.	I'll get it.
Torka dina tårar.	Wipe your tears.
Jordbävningen skakade husen.	The earthquake shook the houses.
Tom stör Mary.	Tom is disturbing Mary.
Tom dödade Mary.	Tom killed Mary.
De är lärare.	They are teachers.
Hon är ansvarsfull.	She is responsible.
Pratar du svenska?	Do you speak Swedish?
Jag pratar svenska.	I speak Swedish.
John gillar schack.	John likes chess.
Vill du hänga?	Do you want to hang out?
Hur stavas det?	How is it spelled?
Tom kollade datumet.	Tom checked the date.
Jag skrev ingenting.	I didn't write anything.
Ingen vill dit.	No one wants to go there.
De är gymnasieelever.	They are high school students.
Var han fallskärmsjägare?	Was he a paratrooper?
Jag är korean.	I am Korean.
Studerar du kemi?	Do you study chemistry?
Det fungerar inte.	It doesn't work.
Jag dödade Gud.	I killed God.
Tom dödade ingen.	Tom didn't kill anybody.
Jag är Döden.	I am Death.
Var ligger flygplatsen?	Where's the airport?
Hunden är döende.	The dog is dying.
Du förstår inte.	You don't understand.
Ni förstår inte.	You don't understand.
Vi behöver dig.	We need you.
Tom döljer någonting.	Tom is hiding something.
Hästen är min.	The horse is mine.
Vi tar kreditkort.	We accept credit cards.
Ett bi surrar.	A bee buzzes.
Soldaterna är döda.	The soldiers are dead.
Flyger du ofta?	Do you fly frequently?
Flyger ni ofta?	Do you fly frequently?
Var är ni?	Where are you?
Behöver ni pengar?	Do you need money?
Jag väckte dig.	I woke you up.
Jag älskar Kalifornien.	I love California.
Luften är fuktig.	The air is damp.
Stormen sänkte temperaturen.	The storm sent the temperature down.
Jag är egyptier.	I am Egyptian.
Hörde du klickljudet?	Did you hear the click?
Vi ursäktar avbrottet.	We are sorry for the interruption.
Låt mig gå!	Let me go!
De blev mördade.	They were murdered.
De var perfekta.	They were perfect.
De var mina.	They were mine.
De var hjältar.	They were heroes.
De var falska.	They were fake.
De blev tokiga.	They went crazy.
De började dansa.	They started dancing.
De började skjuta.	They started firing.
De skakade hand.	They shook hands.
De gick ut.	They went outside.
Allt gick bra.	Everything went well.
Tom dricker inte.	Tom doesn't drink.
Den är tom.	It's empty. (-en noun)
Det är tomt.	It's empty. (-ett noun)
Du är annorlunda.	You're different.
Vilken underbar trädgård!	What a lovely garden!
Jag är mördaren.	I'm the killer.
Vem spelar huvudrollen?	Who plays the lead?
Vem upptäckte Amerika?	Who discovered America?
Ni dödade Tom.	You killed Tom.
Nu eller aldrig.	It's now or never.
Han spelade piano.	He was playing the piano.
Du är lat!	You are lazy!
Ni är lata!	You are lazy! (plural)
Är ni hungriga?	Are you hungry?
Gav du dricks?	Did you leave a tip?
Vänta, skjut inte!	Wait, don't shoot!
Jag behövde dig.	I needed you.
Jag behövde er.	I needed you.
Jag är upprörd.	I'm upset.
Tom är plastikkirurg.	Tom is a plastic surgeon.
Känner du de?	Do you know them?
Du är orättvis.	You're unfair.
Ni är orättvisa.	You're unfair.
Åt du frukost?	Did you eat breakfast?
Vem hatar dig?	Who hates you?
Vem hatar er?	Who hates you?
Vem förrådde oss?	Who betrayed us?
Vem har dött?	Who died?
Solen är vit.	The sun is white.
Jag fattar inte.	I don't get it.
Jag flyttar inte.	I won't move.
Tom gick tillbaka.	Tom went back.
Jag tappade kontrollen.	I lost control.
Ring mig senare.	Call me later.
Är allt där?	Is everything there?
Hon har självmordstankar.	She's having suicidal thoughts.
Det går fint!	It's going nicely!
Hon är tvilling.	She is a twin.
Jag blir hämtad.	I'm being picked up.
Jag blir upphämtad.	I'm being picked up.
Du är partisk.	You're biased.
Var inte barnslig.	Don't be childish.
De köpte det.	They bought it. (ett noun)
De köpte den.	They bought it. (en noun)
Hej! God morgon!	Hello! Good morning!
Du verkar förvånad.	You seem surprised.
Ni verkar förvånade.	You seem surprised.
Huset tillhör honom.	The house belongs to him.
Jag är nykter.	I'm sober.
Jag kan köra.	I can drive.
Titta på katten.	Look at the cat.
Han vann allt.	He won everything.
Bladen är gula.	The leaves are yellow!
Mannen åt bröd.	The man was eating bread.
Jag förstår dig!	I understand you!
Jag tackar er.	I thank you.
Pratar du japanska?	Do you speak Japanese?
Glöm inte biljetten.	Don't forget the ticket.
Minns du det?	Do you remember?
Jag brukar diska.	I usually do the dishes.
Vad gjorde du?	What were you doing?
Segla längs kusten.	Sail along the coast.
Vad kostar det?	How much will it cost?
Jag älskar dig.	I love you.
Gillar du golf?	Do you like golf?
Oljuden väckte mig.	The noise woke me.
Fundera på det.	Think about it.
Är han läkare?	Is he a doctor?
Är du upptagen?	Are you busy?
Hatten är din.	The hat is yours.
Jack kan engelska.	Jack speaks English.
Vi behöver pengar.	We need some money.
Kan hon franska?	Does she speak French?
Jag heter Farshad.	My name is Farshad.
Jag är arbetslös.	I am unemployed.
De vann faktiskt.	They did win.
Jag äter här.	I eat here.
Jag heter Hopkins.	My name is Hopkins.
